dataset,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
exp,0.0102,1.0086213897420633,0.08718293119697228,19862834309918667e25,3929733481275369e71,198627524983743e27,39297334354636955e70,0.2728636387945711,0.0051
log,0.0483,1.0440840225348198,0.38137364814614855,0.0398340895262754,0.001266185684016343,0.039916993688193736,7.240285549422674e-4,0.5073074125624585,0.046
lognormal,0.0494,1.0503343260744686,0.38733428678434145,14.790962965341784,159.1224601094837,14.874791056399063,94.37073614193729,0.49833893167345733,0.0506
normal,0.0484,1.048744592167841,0.38871364161841804,14.929361479368197,156.00701019573793,14.962411792630949,87.38992126876154,0.49474829781637547,0.0501
