method,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
CMIB,0.048176,1.0476581430838523,0.3789930913466767,6.426577635511554,12.437161401426758,6.4359089272888745,2.6848395900230555,0.637910823668124,0.053004
CMIT,0.35222,2.06427324849113,1.6590563984750093,16.335971175122687,93.89716393964177,8.301249168151884,4.640625889400538,0.5018966650588759,0.336292
complete,0.053,1.0486517863260423,0.3927991037243601,8.997742350120042,23.340737968708353,9.009435715597956,3.9295511290879737,0.563125516499305,0.0522
linear_imp,0.443984,2.400786197640201,2.437746636326803,13.387253530855448,56.091325451138545,6.007908170096307,2.6129674762447865,0.6774025630743795,0.417748
mean_imp,0.0486,1.0472685263903543,0.38318951082970376,8.233698323784663,20.400681906997274,8.248328005497441,4.164425604262913,0.47634777777923215,0.049096
