dataset,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
exponential,0.0089,1.0075606616336539,0.07173323260797569,12754368649748529e34,16267353747765872e88,12754368649514273e34,1626735374776607e89,0.27051465417047055,0.0041
log_lognormal,0.0493,1.045606302848833,0.3887462782264842,0.03586955363633884,9.061906499787576e-4,0.035929363666408434,4.739343281045489e-4,0.5081047979606997,0.0484
lognormal,0.0494,1.0505945470473592,0.38275507388028146,14.789504926213993,156.88090709432458,14.865244741685649,93.20239033053868,0.4974735686747571,0.0495
normal,0.048,1.0487466576969924,0.3853693927941659,14.914259349699014,157.47022378831693,14.941626549511202,88.43816595466951,0.49519408639337004,0.0472
