dataset,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
exp,0.0055,1.005089433678841,0.04889635567096072,13510523695315364e41,182161796105738e104,1351052369531484e42,18216179610572382e102,0.27468662161712104,0.0031
log,0.0294,1.0296128863927114,0.27302767706114933,0.041099176054277764,0.0015628998884615343,0.04147167621956953,0.0012008138907738588,0.5159027022675923,0.0314
lognormal,0.0282,1.0299495821611613,0.2797566247535038,14.789965392229341,224.57872322114258,14.916149845898316,175.2945286808619,0.502657899411083,0.0316
normal,0.0285,1.03534931932464,0.2769159104776294,14.919060622332152,159.16972925772296,14.953586731463908,107.31620431187916,0.49398928236200923,0.0293
