pi,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
0,0.0453,1.0391513507564303,0.38076392987423086,8.90660790623504,22.695461561213317,9.003429777131037,3.931697767624171,0.561557671112992,0.0451
0.01,0.0489,1.0587666227651913,0.38937096230933826,10.03183369391546,34.069622731679026,9.93283774840883,8.985331581475448,0.5481925752093042,0.0546
0.02,0.0474,1.0406085003536378,0.3678391313257043,10.76595577359929,42.23515848961199,10.820022663013601,14.133044292248519,0.5339775033510907,0.0474
0.03,0.0431,1.0388901518527682,0.36168379795342925,11.714354207138388,52.61729112495736,11.79340595845574,19.604868190288574,0.5228836504287556,0.0477
0.04,0.044,1.0390510637578736,0.35880107091594615,12.581906807489759,60.111657132211064,12.746444645261002,25.64787001934152,0.5122890955256199,0.0512
0.05,0.0477,1.0553952645825988,0.3716620342182167,13.53775901379695,71.35671637864401,13.460178542241609,28.81487168203778,0.5032373295789998,0.0559
0.06,0.0481,1.0590654476139905,0.3795267511044403,14.67896404768175,88.71951917089332,14.533115332988281,36.18709565640037,0.4930270030067343,0.0592
0.07,0.0461,1.0493337306045323,0.3668558496770256,15.384738151392161,95.59617936480211,15.399851055359418,40.34454480703435,0.48258790310493477,0.0545
0.08,0.0445,1.044410621954992,0.35685094607565293,16.359395127007502,110.34053714328729,16.364770826557603,45.34060560657155,0.4742731179317075,0.0565
0.09,0.0425,1.0444958900325503,0.35195638615870495,17.294312645224277,124.92552350540838,17.304314859102607,50.254594374219174,0.46645325048718533,0.0563
0.1,0.0441,1.0349333540031815,0.3427443257925174,17.813647276218582,127.14119922886968,17.99924552839646,54.83233070661903,0.4608407201144291,0.0543
