dataset,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
exp,0.0109,1.0111155212366887,0.08990443597409997,30504261171669595e25,7301826006737266e71,30510659632334507e25,7305241129964107e71,0.27270464085458535,0.006
log,0.0465,1.0431997416590104,0.3651105440265412,0.039168351922399335,0.0011900735844935252,0.03933925971076674,7.148240020172023e-4,0.5072667975718212,0.0473
lognormal,0.0482,1.0412244301785798,0.38280406775652165,14.805840044621744,163.70516119982415,14.965746486241763,99.61583547448413,0.4972513535344332,0.0487
normal,0.0462,1.0361325271883006,0.36999937239828684,14.728099538992915,150.00301680659888,14.943047815194666,89.5219158212448,0.4963006853714711,0.0468
